,,,,,Fontes:
Cidade,Capital (*),gentílico,,,https://pt.wikipedia.org/wiki/Lista_de_gent%C3%ADlicos_do_Cear%C3%A1
Acre,,,,,
Assis Brasil ,,assis-brasiliense,,,
Cruzeiro do Sul ,,cruzeirense,,,
Feijó,,feijoense,,,
Mâncio Lima ,,mâncio-limense,,,
Manoel Urbano,,urbanense,,,
Marechal Thaumaturgo,,taumaturguense,,,
Rio Branco,*,rio-branquense,,,
Sena Madureira,,sena-madureirense,,,
Tarauacá,,tarauaquense,,,
Xapuri,,xapuriense,,,
,,,,,
Alagoas,,,,,
Anadia,,anadiense,,,
Arapiraca,,arapiraquense,,,
Atalaia,,atalaiense,,,
Belém,,belenense,,,
Belo Monte,,belo-montense,,,
Canapi,,canapiense,,,
Campestre,,campestrense,,,
Capela,,capelense,,,
Carneiros,,carneirense,,,
Coruripe,,coruripense,,,
Craíbas,,craibense,,,
Delmiro Gouveia,,delmirense,,,
Feira Grande,,feira-grandense,,,
Flexeiras,,flexeirense,,,
Ibateguara,,ibateguarense,,,
Igaci,,igaciense,,,
Inhapi,,inhapiense,,,
Jacaré dos Homens,,jacareense; jacarezeiro,,,
Jacuípe,,jacuipense,,,
Japaratinga,,japaratinguense,,,
Jaramataia,,jaramataiense,,,
Jequiá da Praia,,jequiense,,,
Jundiá,,jundiaense,,,
Junqueiro,,junqueirense,,,
Maceió,*,maceioense,,,
Maragogi,,maragojiense,,,
Maravilha,,maravilhense,,,
Marechal Deodoro,,deodorense,,,
Maribondo ,,maribondense,,,
Messias,,messiense,,,
Murici,,muriciense,,,
Novo Lino,,linense,,,
Ouro Branco,,ouro-branquense,,,
Pariconha ,,pariconhense,,,
Paripueira ,,paripueirense,,,
Paulo Jacinto,,paulo-jacintense,,,
Penedo,,penedense,,,
Quebrangulo,,quebrangulense,,,
Queimadas (Bahia)- queimadense,,,,,
Rio Largo,,rio-larguense,,,
Roteiro,,roteirense,,,
Santana do Ipanema,,santanense,,,
São José da Laje,,lajense,,,
São Miguel dos Campos,,miguelense,,,
Satuba,,satubense,,,
Traipu,,traipuense,,,
União dos Palmares,,palmarino,,,
Viçosa,,viçosense,,,
,,,,,
Amapá,,,,,
Calçoene,,calçoenense,,,
Macapá,*,macapaense,,,
Mazagão,,mazaguense,,,
Oiapoque,,oiapoquense,,,
Santana,,santanense,,,
Serra do Navio,,serra-naviense,,,
,,,,,
Amazonas,,,,,
Alvarães,,alvarense,,,
Amaturá,,amaturense,,,
Anamã,,anamãense,,,
Anori,,anoriense,,,
Apuí,,apuiense,,,
Atalaia do Norte,,atalaiense,,,
Autazes,,autaziense,,,
Barcelos,,barcelense,,,
Barreirinha,,barreirinhense,,,
Benjamin Constant,,benjamin-constantense,,,
Beruri,,beruriense,,,
Boa Vista do Ramos ,,boa-vistense,,,
Boca do Acre,,bocacrense,,,
Borba,,borbense,,,
Caapiranga,,caapiranguese,,,
Canutama,,canutamense,,,
Carauari,,carauariense,,,
Careiro,,careirense,,,
Careiro da Várzea,,careirense-da-várzea,,,
Coari,,coariense,,,
Codajás,,codajaiense,,,
Eirunepé ,,erunepeense,,,
Envira ,,envirense,,,
Fonte Boa,,fonteboense,,,
Guajará,,guajaraense,,,
Humaitá,,humaitaense,,,
Ipixuna,,ipixunaense,,,
Iranduba,,irandubense,,,
Itacoatiara ,,itacoatiarense,,,
Itamarati ,,itamaratiense,,,
Itapiranga,,itapiranguense,,,
Japurá,,japurense,,,
Juruá ,,juruaense,,,
Jutaí,,jutaiense,,,
Lábrea ,,labreense,,,
Manacapuru ,,manacapuruense,,,
Manaquiri,,manaquiriense,,,
Manaus ,*,manauense; manauara,,,
Manicoré ,,bacurau,,,
Maraã ,,maraaense,,,
Maués ,,maueense; mauesense,,,
Nhamundá ,,nhamundaense,,,
Nova Olinda do Norte ,,nova-olindense,,,
Novo Airão ,,novo-airense; novo-airãoense,,,
Novo Aripuanã ,,aripuanense; novo-aripuanense,,,
Parintins ,,parintinense,,,
Pauini ,,pauiniense,,,
Presidente Figueiredo ,,figueirense,,,
Rio Preto da Eva ,,rio-pretense,,,
Santa Isabel do Rio Negro ,,santa-isabelense,,,
Santo Antônio do Içá ,,santo-antôniense,,,
São Gabriel da Cachoeira ,,são-gabrielense,,,
São Paulo de Olivença ,,paulivense,,,
São Sebastião do Uatumã ,,uatumaense,,,
Silves ,,silvense; saracaense,,,
Tabatinga,,tabatinguense,,,
Tapauá ,,tapauense,,,
Tefé ,,tefense; teféense,,,
Tonantins ,,tonantinense,,,
Uarini ,,uariniense; uarinense,,,
Urucará ,,urucaraense,,,
Urucurituba ,,urucuritubense,,,
,,,,,
Bahia,,,,,
Abaíra ,,abairense,,,
Abaré,,abareense,,,
Acajutiba ,,acajutibense,,,
Adustina ,,adustinense,,,
Aiquara ,,aiquarense,,,
Alagoinhas ,,alagoinhense,,,
Alcobaça ,,alcobacense,,,
Almadina ,,almadinense,,,
Almadina ,,amargosense,,,
Amélia Rodrigues,,amélia-rodriguense,,,
Anagé ,,anajeense,,,
Andaraí ,,andaraiense,,,
Andorinha ,,andorinhense,,,
Araci ,,araciense,,,
Barreiras ,,barreirense,,,
Camaçari ,,camaçariense,,,
Campo Alegre de Lourdes ,,campo-alegrense,,,
Casa Nova ,,casa-novense,,,
