Localidadde @ gentilico; gentilico,,,,Fonte: 
 Angra dos Reis @ angrense,,,,https://pt.wikipedia.org/wiki/Lista_de_gent%C3%ADlicos_do_Rio_de_Janeiro
 Aperibé@aperibeense,,,,
 Araruama@araruamense,,,,
 Areal@arealense,,,,
 Armação dos Búzios@buziano,,,,
 Arraial do Cabo@arraialense;  cabista,,,,
 Barra do Piraí@barrense,,,,
 Barra Mansa@barra-mansense,,,,
 Belford Roxo@belford-roxense,,,,
 Bom Jardim @bom-jardinense,,,,
 Bom Jesus do Itabapoana@bonjesuense,,,,
 Cabo Frio  cabo-friense,,,,
 Cachoeiras de Macacu@cachoeirense,,,,
 Cambuci@cambuciense,,,,
 Campos dos Goytacazes@campista,,,,
 Cantagalo  @cantagalense,,,,
 Carapebus@carapebuense,,,,
 Cardoso Moreira@cardosense,,,,
 Carmo @carmense,,,,
 Casimiro de Abreu@casimirense,,,,
 Comendador Levy Gasparian@gasparianense,,,,
 Conceição de Macabu@macabuense,,,,
 Cordeiro@cordeirense,,,,
 Duas Barras  bibarrense,,,,
 Duque de Caxias @  caxiense;  duque-caxiense,,,,
 Engenheiro Paulo de Frontin@frontinense,,,,
 Guapimirim@guapimirinense,,,,
 Iguaba Grande@iguabense,,,,
 Itaboraí@itaboraiense,,,,
 Itaguaí @ itaguaiense,,,,
 Italva@italvense,,,,
 Itaocara@itaocarense,,,,
 Itaperuna@itaperunense,,,,
 Itatiaia|Itatiaia@itatiaiense,,,,
 Japeri@japeriense,,,,
 Laje do Muriaé@lajense,,,,
 Macaé @  macaense,,,,
 Macuco @macuquense,,,,
 Magé@majeense,,,,
 Mangaratiba@mangaratibense,,,,
 Maricá@maricaense,,,,
 Mendes@mendense,,,,
 Mesquita @ mesquitense,,,,
 Miguel Pereira@miguelense,,,,
 Miracema@miracemense,,,,
 Natividade @natividadense,,,,
 Nilópolis@nilopolitano,,,,
 Niterói  @ niteroiense,,,,
 Nova Friburgo @ friburguense,,,,
 Nova Iguaçu @ iguaçuano,,,,
