Localidade @ gentilico; gentilico,,,,,Fonte:
 Almirante Tamandaré @ tamandareense,,,,,https://pt.wikipedia.org/wiki/Lista_de_gent%C3%ADlicos_do_Paran%C3%A1
 Alto Paraíso@ alto-paraisense,,,,,https://pt.wikipedia.org/wiki/Lista_de_gent%C3%ADlicos_do_Brasil
 Andirá @ andiraense,,,,,
 Antonina @ antoninense ou capelista,,,,,
 Apucarana @ apucaranense,,,,,
 Arapongas @ araponguense,,,,,
 Arapoti @ arapotiense,,,,,
 Araruna  @ ararunense,,,,,
 Araucária @ araucariense,,,,,
 Assaí @ assaiense,,,,,
 Assis Chateaubriand @ chateaubriandense,,,,,
 Astorga @ astorguense,,,,,
 Bandeirantes @bandeirantense,,,,,
 Bituruna@ biturunense,,,,,
 Boa Vista da Aparecida @ boa-vistense,,,,,
 Cambará @ cambaraense,,,,,
 Cambé @ cambeense,,,,,
 Cambira @ cambirense,,,,,
 Campina da Lagoa @ campina-lagoano,,,,,
 Campina Grande do Sul @ sul-campino-grandense,,,,,
 Campo Largo  @ campo-larguense,,,,,
 Campo Mourão @ mourãoense,,,,,
 Carambeí @ carambiense,,,,,
 Cascavel @ cascavelense,,,,,
 Castro @ castrense,,,,,
 Cianorte @ cianortense,,,,,
 Clevelândia @ clevelandense,,,,,
 Colombo  @ colombense,,,,,
 Congonhinhas @ congonhinhense,,,,,
 Contenda @ contendense,,,,,
 Cornélio Procópio @ procopense,,,,,
 Coronel Domingos Soares @ domingos-searense,,,,,
 Coronel Vivida @ vividense,,,,,
 Cruz Machado @ cruz-machadense,,,,,
 Cruzeiro do Oeste @ cruzeiro-do-estano; cruzeirense,,,,,
Curitiba @ curitibano,,,,,
 Dois Vizinhos @ duovizinhense,,,,,
 Engenheiro Beltrão @ beltrandense; engenheiro-beltrense,,,,,
 Fazenda Rio Grande@ fazendense,,,,,
 Francisco Beltrão @ francisco-beltrense; beltronense; beltranense,,,,,
 Foz do Iguaçu@ iguaçuense,,,,,
 Goioerê @ goioerense,,,,,
 Guaíra @ guairense,,,,,
 Guarapuava @ guarapuavano,,,,,
 Guaratuba @ guaratubano,,,,,
 Ibaiti @ ibaitiense,,,,,
 Ibiporã @ ibiporense,,,,,
 Imbituva @ imbituvense,,,,,
 Inácio Martins @ inacience; martinense,,,,,
 Iporã @ iporãense,,,,,
 Irati  @ iratiense,,,,,
 Itaperuçu @ itaperuçuense,,,,,
 Ivaiporã @ ivaiporãense,,,,,
 Jacarezinho @ jacarezinhense,,,,,
 Jaguariaíva @ jaguariaivense,,,,,
 Jandaia do Sul @ jandaiense,,,,,
 Janiópolis @ janiopolense,,,,,
 Jataizinho @ jataizinhense,,,,,
 Joaquim Távora @ tavorense,,,,,
 Lapa @ lapiano,,,,,
 Laranjeiras do Sul @ laranjeirense,,,,,
 Loanda @ loandense,,,,,
 Londrina @ londrinense,,,,,
 Mandaguari @ mandaguariense,,,,,
 Mandaguaçu @ mandaguaçuense,,,,,
 Mandirituba @ mandiritubense,,,,,
 Marechal Cândido Rondon  @ rondonense,,,,,
 Marialva  @ marialvense,,,,,
 Maringá @ maringaense,,,,,
 Matinhos @ matinhense,,,,,
 Marmeleiro @ marmeleirense,,,,,
 Medianeira @ medianeirense,,,,,
 Nova Esperança @ nova-esperancense,,,,,
 Nova Fátima @ fatimense,,,,,
 Nova Prata do Iguaçu @ Pratense,,,,,
 Paiçandu @ paiçanduense,,,,,
 Palmas @ palmense,,,,,
