Localidade @ gentilico; gentilico
 Adamantina @ adamantinense
 Andradina @ andradinense
Adolfo @ adolfino
 Aguaí @ aguaiano
 Águas de Lindóia @ lindoiense
 Águas da Prata @ água-pratense
 Águas de São Pedro @ água-pedrense
 Agudos @ agudense
 Alambari @ alambariense
Altair @ altairense
 Altinópolis @ altinopolense
Alto Alegre @ alto-alegrense
Alumínio @ aluminense
 Álvaro de Carvalho @ álvaro-carvalhense
 Americana @ americanense
 Américo Brasiliense @ américo-brasiliense; ameriliense
 Américo de Campos @ américo-campista; americampense
Amparo @ amparense
 Analândia @ analandense
 Angatuba @ angatubense
Aparecida @ aparecidense
 Aparecida d'Oeste @ aparecidense
 Apiaí @ apiaiense
 Araçatuba @ araçatubense
 Araraquara @ araraquarense
Araras @ ararense
Arco-Íris @ arco-irense
Ariranha @ ariranhense
 Arujá @ arujaense
 Assis (São Paulo)|Assis @ assisense
 Atibaia @ atibaiense; atibaiano
 Auriflama @ auriflamense
 Avanhandava @ avanhandavense
 Avaré@ avareense
 Bady Bassitt @ badiense; bassitense
Bálsamo @ balsamense
 Bananal @ bananalense
Barra Bonita @ barra-bonitense
 Barra do Chapéu @ barrense
 Barretos @ barretense
 Barueri @ barueriense
 Batatais @ batataense
 Birigui @ biriguiense
Borborema @ borboremense
Borebi @ borebiense
 Botucatu @ botucatuense
 Bauru @ bauruense
 Biritiba Mirim @ biritibano
 Bragança Paulista @ bragantino
 Brodowski @ brodosquiano
Brotas @ brotense
 Buri @ buriense
 Buritizal @ buritizalense
 Caçapava @ caçapavense; taiada
Cafelândia @ cafelandense
 Cajamar @ cajamarense
 Campinas @ campineiro; campinense
 Campos do Jordão @ jordanense
 Cândido Mota @ cândido-motense
 Capão Bonito @ capão-bonitense
 Capela do Alto @ capelense
 Capivari @ capivariano
 Caraguatatuba @ caraguatatubense
 Carapicuíba @ carapicuibano
Casa Branca @ casa-branquense
 Catanduva @ catanduvense
 Cerquilho @ cerquilhense
 Cesário Lange @ cesário-langense
 Chavantes @ xavantino; xavantense
 Cravinhos @ cravinhense
 Cruzeiro  @ cruzeirense
 Cubatão @ cubatonense
 Descalvado @ descalvadense
 Diadema @ diademense
 Dobrada @ dobradense
Dourado @ douradense
 Echaporã @ exaporense
Eldorado @ eldoradense
 Elias Fausto @ elias-faustense
 Elisiário @ elisiariense
Embaúba @ embaubense
 Embu das Artes @ embuense
 Embu-Guaçu @ embu-guaçuense
 Engenheiro Coelho @ coelhense; engenheiro-coelhense
 Espírito Santo do Pinhal @ pinhalense
 Espírito Santo do Turvo @ espírito-santense
 Estiva Gerbi @ estivense
 Estrela d'Oeste @ estrelense
Estrela do Norte @ estrelense
 Euclides da Cunha Paulista @ euclidense
 Fernando Prestes @ fernando-prestense
 Fernandópolis @ fernandopolense
 Franca @ francano
 Francisco Morato @ moratense
 Franco da Rocha @ franco-rochense
 Gavião Peixoto @ gavionense
Guaíra @ guairense
 Guapiara @ guapiarense
 Guaratinguetá @ guaratinguetaense
 Guareí @ guareiense
 Guarulhos @ guarulhense
 Guarujá @ guarujaense
 Herculândia @ herculandense
 Holambra @ holambrense
 Hortolândia @ hortolandense
 Iacanga @ iacanguense
 Ibaté @ ibateense
 Ibirá @ ibiraense
 Ibitinga @ ibitinguense
 Igaraçu do Tietê @ igaraçuense
 Igarapava @ igarapavense
 Ilha Solteira @ ilhense
 Indaiatuba @ indaiatubano
 Itaí @ itaiense
 Itajobi @ itajobiense
 Itanhaém @ itanhaense
 Itapetininga @ itapetiningano
Itapeva @ itapevense
 Itapevi @ itapeviense
 Itapira @ itapirense
 Itápolis @ itapolitano
 Itapuí @ itapuiense
 Itararé @ itarareense
 Itirapina @ itirapinense
 Itu @ ituano
 Ituverava @ ituveravense
 Jaboticabal @ jaboticabalense
 Jacareí @ jacareiense
 Jaguariúna @ jaguariunense
 Jales @ jalesense
 Jandira @ jandirense
Jardinópolis @ jardinopolense
 Jaú @ jauense
 Joanópolis @ joanopolense
 Jundiaí @ jundiaiense
 Juquitiba @ juquitibense
 Laranjal Paulista @ laranjalense
 Leme @ lemense
 Limeira @ limeirense
 Lins @ linense
Lorena @ lorenense
Louveira @ louveirense
 Macatuba @ macatubense
 Marília @ mariliense
 Matão @ matonense
 Mauá @ mauaense
 Miguelópolis @ miguelopolense
 Mirassol @ mirassolense
 Mococa @ mocoquense
 Mogi das Cruzes @ moji-cruzense
 Mogi Guaçu @ guaçuano
 Mogi Mirim @ mojimiriano
 Mongaguá @ mongaguaense
 Monte Alto @ monte-altense
 Monte Aprazível @ monte-aprazivelense
 Monte Azul Paulista @ Monte-azulense
 Monte Mor @ monte-morense
Monteiro Lobato @ lobatense
 Motuca @ motuquense
 Nhandeara @ nhandearense
 Nova Aliança @ aliancense
 Nova Campina @ nova-campinense
 Nova Canaã Paulista @ nova-canaense
 Nova Castilho @ castilhense
 Nova Europa @ nova-europense
Nova Granada @ granadense
 Nova Guataporanga @ guataporanguense
 Nova Independência @ independentino
 Nova Luzitânia @ lusitaniense
 Nova Odessa @ nova-odessense
Novo Horizonte @ novo-horizontino
Olímpia @ olimpiense
 Orlândia @ orlandino
 Osasco @ osasquense; osasquiano
 Osvaldo Cruz @ osvaldo-cruzense
 Ourinhos @ ourinhense
Palestina @ palestinense
 Pariquera-Açu @ pariquerense
 Paulínia @ paulinense
 Pederneiras @ pederneirense
 Pedra Bela @ pedra-belense
 Pedreira @ pedreirense
 Penápolis @ penapolense
 Peruíbe @ peruibense
 Pilar do Sul @ pilarense
 Pindamonhangaba @ pindamonhangabense
 Piracaia @ piracaiense
 Piracicaba @ piracicabano
 Piraju @ pirajuense
 Pirapora do Bom Jesus @ piraporano; piraporense; piraporoense; bom-jesusiano
 Pirassununga @ piraçununguense
 Poá @ poaense
Pompeia @ pompeense
 Pontal @ pontalense
 Porto Ferreira @ porto-ferrense
Praia Grande @ praia-grandense
 Presidente Alves @ alvense
Presidente Bernardes @ bernardense
 Presidente Epitácio @ epitaciano
 Presidente Prudente @ prudentino
 Presidente Venceslau @ venceslauense
 Promissão @ promissense
 Quadra @ quadrense
 Quatá @ quataense
 Queiroz @ queirosense
Queluz @ queluzense
 Quintana @ quintanense
Registro @ registrense
 Ribeirão Bonito @ ribeirão-bonitense
 Ribeirão Branco @ ribeirão-branquense
 Ribeirão Pires @ ribeirão-pirense
 Ribeirão Preto @ ribeirão-pretano
Rio Claro @ rio-clarense
Salto @ saltense
 Santa Bárbara d'Oeste @ barbarense
 Santa Cruz do Rio Pardo @ santa-cruzense
 Santa Ernestina @ santa-ernestinense
 Santa Rita do Passa Quatro @ santa-ritense
Santo Anastácio @ anastaciano
Santo André @ andreense
 Santo Antônio da Alegria @ alegriense
 Santo Antônio de Posse @ possense
 Santos @ santista
 São Bernardo do Campo @ são-bernardense
 São Caetano do Sul @ sul-são-caetanense
São Carlos @ são-carlense; carlopolitano
 São João da Boa Vista @ são-joanense
 São José do Rio Pardo @ rio-pardense
 São José do Rio Preto @ rio-pretense
 São José dos Campos @ joseense
 São Luiz do Paraitinga @ luisense
São Miguel Arcanjo @ são-miguelense
São Paulo - paulistano
São Pedro @ são-pedrense
São Roque @ são-roquense
São Sebastião @ sebastianense
São Simão @ simonense
São Vicente @ vicentino; calunga
Sertãozinho @ sertanezino
