Localidade @ gentilico;   gentilico; gentilico,,,,,,
Abecásia @  abecásio; abecázio; abcázio ; abcásio,,,,,,Fonte:
Afeganistão @  afegão   ; afegane; afegã ; afegânico,,,,,,https://pt.wikipedia.org/wiki/Lista_de_gent%C3%ADlicos
África @  africano,,,,,,
África do Sul @  sul-africano   ; austro-africano; sul-africanista,,,,,,
Albânia @  albanês   ; albano; albanense; albânio,,,,,,
Alemanha @  alemão   ; alemânico; alemanisco; alamão; germânico; germano; tudesco; tedesco; teutão; teuto; teutónico; boche (depreciativo),,,,,,
Alpes @  alpino,,,,,,
América @  americano,,,,,,
América do Norte @  norte-americano,,,,,,
América Central @  centro-americano,,,,,,
América do Sul @  sul-americano,,,,,,
Andorra @  andorrano   ; andorrense; andorriano,,,,,,
Angola @  angolano   ; angolense; angolês,,,,,,
Luanda @  luandense,,,,,,
Anguilla @  anguilano ,,,,,,
Antígua e Barbuda @  antiguano  ,,,,,,
Arábia Saudita @  saudita; árabe-saudita; saudi-arábico; saudi-árabe; árabe; arábio; arábico; arábigo,,,,,,
Meca @  mecano,,,,,,
Medina @  medinense,,,,,,
Argélia @  argelino; argeliano; argeliense; algeriano,,,,,,
Argentina @  argentino   ; platino,,,,,,
Buenos Aires (cidade) @  portenho ,,,,,,
Buenos Aires (Província) @  bonaerense,,,,,,
Patagônia @  patagão,,,,,,
Córdova @  cordovês,,,,,,
Mendoza @  mendocino,,,,,,
Terra do Fogo @  fueguino,,,,,,
Armênia @  armênio (português brasileiro) ; arménio (português europeu); armênico (português brasileiro) ; arménico (português europeu); armeniano,,,,,,
Aruba @  arubano; arubanense; arubenho,,,,,,
Ásia @  asiático,,,,,,
Austrália @  australiano   ; austrálio; australês,,,,,,
Tasmânia @  tasmaniano,,,,,,
Áustria @  austríaco  ,,,,,,
Tirol @  tirolês,,,,,,
Viena @  vienense,,,,,,
Áustria-Hungria @  austro-húngaro,,,,,,
Azerbaijão @  azerbaijano   ; azerbaidjano (apenas em português brasileiro); azerbaijanês ; azerbaidjanês (apenas em português brasileiro); azerbaijanês ; azeri,,,,,,
Babilônia @  babilônico,,,,,,
Bahamas @  bahamiano; bahamense; baamiano; baamês; baamense,,,,,,
Bahrein @  bareinita; baremita; barenita; baremês; baramês; baremense,,,,,,
Bangladesh @  bangladechiano; bangladexiano; bangladeshiano; bangladense; bangladês; bengali; bengáli; bengalês; bengalense; bengala; bengalim,,,,,,
Barbados @  barbadiano  ; barbadense,,,,,,
Batávia @  batavo,,,,,,
Bélgica @  belga  ; bélgico,,,,,,
Flandres @  flamengo,,,,,,
Valônia @  valão,,,,,,
