Estado,gentílico; gentilico,,Fonte: https://pt.wikipedia.org/wiki/Lista_de_gent%C3%ADlicos_do_Brasil
Acre,acriano,,
Alagoas,alagoano,,
Amapá,amapaense,,
Amazonas,amazonense; baré,,
Bahia,baiano,,
Ceará,cearense,,
Distrito Federal,brasiliense; candango,,
Espírito Santo,capixaba; espírito-santense,,
Goiás,goiano,,
Maranhão,maranhense,,
Mato Grosso,mato-grossense,,
Mato Grosso do Sul,sul-mato-grossense; mato-grossense-do-sul,,
Minas Gerais,mineiro,,
Pará,paraense,,
Paraíba,paraibano,,
Paraná,paranaense,,
Pernambuco,pernambucano,,
Piauí,piauiense,,
Rio de Janeiro,fluminense,,
Rio Grande do Norte,potiguar; rio-grandense-do-norte; norte-rio-grandense,,
Rio Grande do Sul,gaúcho; rio-grandense-do-sul; sul-rio-grandense,,
Rondônia,rondoniense; rondoniano,,
Roraima,roraimense,,
Santa Catarina,catarinense; barriga-verde,,
São Paulo,paulista,,
Sergipe,sergipano; sergipense,,
Tocantins,tocantinense,,
